Epoch: [0][660/2276], lr: 0.00100	Time 1.132 (2.925)	Data 0.001 (1.686)	Loss 1.6018 (2.5137)	Prec@1 60.000 (31.861)	Prec@5 85.000 (68.911)
Epoch: [0][680/2276], lr: 0.00100	Time 0.985 (2.932)	Data 0.001 (1.694)	Loss 2.2607 (2.4960)	Prec@1 30.000 (32.188)	Prec@5 80.000 (69.229)
Epoch: [0][700/2276], lr: 0.00100	Time 1.312 (2.933)	Data 0.002 (1.698)	Loss 1.6349 (2.4756)	Prec@1 55.000 (32.546)	Prec@5 85.000 (69.700)
Epoch: [0][720/2276], lr: 0.00100	Time 1.180 (2.929)	Data 0.002 (1.695)	Loss 1.9527 (2.4556)	Prec@1 50.000 (32.885)	Prec@5 75.000 (70.104)
Epoch: [0][740/2276], lr: 0.00100	Time 0.928 (2.931)	Data 0.002 (1.698)	Loss 1.6512 (2.4357)	Prec@1 45.000 (33.293)	Prec@5 95.000 (70.560)
Epoch: [0][760/2276], lr: 0.00100	Time 1.036 (2.932)	Data 0.002 (1.702)	Loss 1.4586 (2.4143)	Prec@1 45.000 (33.706)	Prec@5 90.000 (70.966)
Epoch: [0][780/2276], lr: 0.00100	Time 1.527 (2.935)	Data 0.001 (1.708)	Loss 1.3862 (2.3978)	Prec@1 55.000 (34.014)	Prec@5 95.000 (71.338)
Epoch: [0][800/2276], lr: 0.00100	Time 1.141 (2.933)	Data 0.001 (1.707)	Loss 1.7064 (2.3784)	Prec@1 40.000 (34.426)	Prec@5 95.000 (71.767)
Epoch: [0][820/2276], lr: 0.00100	Time 1.035 (2.936)	Data 0.001 (1.712)	Loss 1.5965 (2.3629)	Prec@1 65.000 (34.744)	Prec@5 85.000 (72.083)
Epoch: [0][840/2276], lr: 0.00100	Time 1.053 (2.927)	Data 0.001 (1.706)	Loss 1.5666 (2.3452)	Prec@1 50.000 (35.107)	Prec@5 90.000 (72.467)
Epoch: [0][860/2276], lr: 0.00100	Time 1.228 (2.921)	Data 0.001 (1.701)	Loss 1.3055 (2.3289)	Prec@1 60.000 (35.412)	Prec@5 90.000 (72.834)
Epoch: [0][880/2276], lr: 0.00100	Time 1.045 (2.919)	Data 0.001 (1.699)	Loss 1.8110 (2.3088)	Prec@1 30.000 (35.880)	Prec@5 90.000 (73.252)
Epoch: [0][900/2276], lr: 0.00100	Time 0.924 (2.919)	Data 0.002 (1.700)	Loss 1.6604 (2.2913)	Prec@1 40.000 (36.293)	Prec@5 85.000 (73.607)
Epoch: [0][920/2276], lr: 0.00100	Time 1.174 (2.920)	Data 0.001 (1.703)	Loss 1.5642 (2.2746)	Prec@1 55.000 (36.705)	Prec@5 90.000 (73.963)
Epoch: [0][940/2276], lr: 0.00100	Time 1.060 (2.930)	Data 0.002 (1.714)	Loss 1.9263 (2.2582)	Prec@1 55.000 (37.152)	Prec@5 85.000 (74.283)
Epoch: [0][960/2276], lr: 0.00100	Time 1.273 (2.929)	Data 0.002 (1.716)	Loss 1.4590 (2.2419)	Prec@1 55.000 (37.622)	Prec@5 90.000 (74.563)
Epoch: [0][980/2276], lr: 0.00100	Time 1.120 (2.929)	Data 0.001 (1.717)	Loss 1.9984 (2.2272)	Prec@1 35.000 (37.880)	Prec@5 80.000 (74.832)
Epoch: [0][1000/2276], lr: 0.00100	Time 0.908 (2.929)	Data 0.002 (1.719)	Loss 1.6348 (2.2116)	Prec@1 60.000 (38.307)	Prec@5 85.000 (75.105)
Epoch: [0][1020/2276], lr: 0.00100	Time 1.055 (2.925)	Data 0.001 (1.716)	Loss 1.2246 (2.1990)	Prec@1 65.000 (38.639)	Prec@5 95.000 (75.313)
Epoch: [0][1040/2276], lr: 0.00100	Time 1.084 (2.923)	Data 0.002 (1.717)	Loss 1.4936 (2.1845)	Prec@1 60.000 (39.001)	Prec@5 85.000 (75.567)
Epoch: [0][1060/2276], lr: 0.00100	Time 1.169 (2.916)	Data 0.014 (1.713)	Loss 1.3344 (2.1691)	Prec@1 60.000 (39.345)	Prec@5 90.000 (75.881)
Epoch: [0][1080/2276], lr: 0.00100	Time 1.268 (2.916)	Data 0.001 (1.714)	Loss 1.4721 (2.1552)	Prec@1 55.000 (39.713)	Prec@5 85.000 (76.115)
Epoch: [0][1100/2276], lr: 0.00100	Time 1.212 (2.911)	Data 0.019 (1.710)	Loss 1.0960 (2.1407)	Prec@1 70.000 (40.032)	Prec@5 95.000 (76.376)
Epoch: [0][1120/2276], lr: 0.00100	Time 1.178 (2.908)	Data 0.002 (1.706)	Loss 0.9256 (2.1282)	Prec@1 75.000 (40.348)	Prec@5 95.000 (76.610)
Epoch: [0][1140/2276], lr: 0.00100	Time 0.995 (2.905)	Data 0.001 (1.704)	Loss 1.3838 (2.1152)	Prec@1 65.000 (40.649)	Prec@5 95.000 (76.858)
Epoch: [0][1160/2276], lr: 0.00100	Time 1.305 (2.898)	Data 0.002 (1.698)	Loss 1.3459 (2.1016)	Prec@1 65.000 (40.982)	Prec@5 85.000 (77.115)
Epoch: [0][1180/2276], lr: 0.00100	Time 0.996 (2.897)	Data 0.001 (1.696)	Loss 1.5424 (2.0891)	Prec@1 75.000 (41.312)	Prec@5 75.000 (77.316)
Epoch: [0][1200/2276], lr: 0.00100	Time 1.180 (2.892)	Data 0.001 (1.692)	Loss 1.6174 (2.0748)	Prec@1 70.000 (41.699)	Prec@5 85.000 (77.573)
Epoch: [0][1220/2276], lr: 0.00100	Time 0.993 (2.891)	Data 0.001 (1.692)	Loss 1.8090 (2.0616)	Prec@1 50.000 (42.043)	Prec@5 75.000 (77.793)
Epoch: [0][1240/2276], lr: 0.00100	Time 1.777 (2.893)	Data 0.001 (1.694)	Loss 1.1487 (2.0482)	Prec@1 75.000 (42.421)	Prec@5 100.000 (78.018)
Epoch: [0][1260/2276], lr: 0.00100	Time 1.255 (2.893)	Data 0.001 (1.694)	Loss 1.1157 (2.0343)	Prec@1 65.000 (42.799)	Prec@5 95.000 (78.251)
Epoch: [0][1280/2276], lr: 0.00100	Time 1.381 (2.892)	Data 0.001 (1.693)	Loss 0.8894 (2.0227)	Prec@1 75.000 (43.142)	Prec@5 100.000 (78.415)
Epoch: [0][1300/2276], lr: 0.00100	Time 1.084 (2.888)	Data 0.001 (1.690)	Loss 1.2118 (2.0146)	Prec@1 65.000 (43.351)	Prec@5 95.000 (78.543)
Epoch: [0][1320/2276], lr: 0.00100	Time 1.382 (2.892)	Data 0.001 (1.694)	Loss 1.1944 (2.0053)	Prec@1 60.000 (43.577)	Prec@5 100.000 (78.724)
Epoch: [0][1340/2276], lr: 0.00100	Time 1.015 (2.895)	Data 0.002 (1.699)	Loss 1.1228 (1.9944)	Prec@1 65.000 (43.867)	Prec@5 95.000 (78.889)
Epoch: [0][1360/2276], lr: 0.00100	Time 0.890 (2.897)	Data 0.001 (1.702)	Loss 0.9128 (1.9854)	Prec@1 70.000 (44.085)	Prec@5 100.000 (79.056)
Epoch: [0][1380/2276], lr: 0.00100	Time 1.071 (2.894)	Data 0.004 (1.700)	Loss 1.4690 (1.9763)	Prec@1 60.000 (44.305)	Prec@5 90.000 (79.240)
Epoch: [0][1400/2276], lr: 0.00100	Time 1.143 (2.894)	Data 0.001 (1.701)	Loss 1.4055 (1.9658)	Prec@1 70.000 (44.590)	Prec@5 90.000 (79.408)
Epoch: [0][1420/2276], lr: 0.00100	Time 1.111 (2.894)	Data 0.001 (1.701)	Loss 1.7480 (1.9575)	Prec@1 60.000 (44.817)	Prec@5 75.000 (79.532)
Epoch: [0][1440/2276], lr: 0.00100	Time 1.011 (2.892)	Data 0.001 (1.700)	Loss 1.6196 (1.9473)	Prec@1 70.000 (45.108)	Prec@5 80.000 (79.698)
Epoch: [0][1460/2276], lr: 0.00100	Time 1.143 (2.891)	Data 0.001 (1.699)	Loss 1.2185 (1.9398)	Prec@1 65.000 (45.301)	Prec@5 90.000 (79.805)
Epoch: [0][1480/2276], lr: 0.00100	Time 1.123 (2.888)	Data 0.020 (1.696)	Loss 1.3729 (1.9319)	Prec@1 50.000 (45.496)	Prec@5 90.000 (79.953)
Epoch: [0][1500/2276], lr: 0.00100	Time 1.440 (2.888)	Data 0.002 (1.696)	Loss 0.9638 (1.9227)	Prec@1 70.000 (45.730)	Prec@5 95.000 (80.100)
Epoch: [0][1520/2276], lr: 0.00100	Time 1.334 (2.884)	Data 0.003 (1.693)	Loss 1.0448 (1.9139)	Prec@1 70.000 (45.993)	Prec@5 90.000 (80.224)
Epoch: [0][1540/2276], lr: 0.00100	Time 1.085 (2.884)	Data 0.012 (1.694)	Loss 1.0469 (1.9038)	Prec@1 65.000 (46.249)	Prec@5 100.000 (80.383)
Epoch: [0][1560/2276], lr: 0.00100	Time 1.290 (2.881)	Data 0.001 (1.691)	Loss 1.3601 (1.8967)	Prec@1 65.000 (46.435)	Prec@5 85.000 (80.490)
Epoch: [0][1580/2276], lr: 0.00100	Time 1.140 (2.881)	Data 0.001 (1.691)	Loss 0.8601 (1.8885)	Prec@1 80.000 (46.657)	Prec@5 90.000 (80.610)
Epoch: [0][1600/2276], lr: 0.00100	Time 1.114 (2.883)	Data 0.002 (1.694)	Loss 1.1160 (1.8783)	Prec@1 55.000 (46.933)	Prec@5 95.000 (80.771)
Epoch: [0][1620/2276], lr: 0.00100	Time 1.197 (2.881)	Data 0.002 (1.692)	Loss 1.2459 (1.8700)	Prec@1 70.000 (47.162)	Prec@5 85.000 (80.895)
