Epoch: [0][660/2276], lr: 0.10000	Time 0.272 (0.313)	Data 0.000 (0.042)	Loss 3.6193 (3.9925)	Prec@1 10.000 (3.260)	Prec@5 25.000 (14.622)
Epoch: [0][680/2276], lr: 0.10000	Time 0.256 (0.311)	Data 0.000 (0.041)	Loss 3.8111 (3.9877)	Prec@1 5.000 (3.289)	Prec@5 25.000 (14.736)
Epoch: [0][700/2276], lr: 0.10000	Time 0.271 (0.310)	Data 0.000 (0.039)	Loss 3.6292 (3.9802)	Prec@1 10.000 (3.367)	Prec@5 30.000 (14.979)
Epoch: [0][720/2276], lr: 0.10000	Time 0.274 (0.309)	Data 0.000 (0.038)	Loss 3.5370 (3.9740)	Prec@1 10.000 (3.460)	Prec@5 40.000 (15.236)
Epoch: [0][740/2276], lr: 0.10000	Time 0.270 (0.308)	Data 0.001 (0.037)	Loss 3.5905 (3.9686)	Prec@1 20.000 (3.536)	Prec@5 30.000 (15.466)
Epoch: [0][760/2276], lr: 0.10000	Time 0.269 (0.307)	Data 0.000 (0.036)	Loss 3.8845 (3.9608)	Prec@1 10.000 (3.627)	Prec@5 25.000 (15.762)
Epoch: [0][780/2276], lr: 0.10000	Time 0.273 (0.306)	Data 0.000 (0.035)	Loss 3.4462 (3.9550)	Prec@1 15.000 (3.681)	Prec@5 35.000 (15.992)
Epoch: [0][800/2276], lr: 0.10000	Time 0.263 (0.305)	Data 0.000 (0.035)	Loss 3.6372 (3.9489)	Prec@1 15.000 (3.764)	Prec@5 25.000 (16.167)
Epoch: [0][820/2276], lr: 0.10000	Time 0.274 (0.304)	Data 0.000 (0.034)	Loss 3.5722 (3.9428)	Prec@1 5.000 (3.806)	Prec@5 30.000 (16.334)
Epoch: [0][840/2276], lr: 0.10000	Time 0.266 (0.304)	Data 0.000 (0.033)	Loss 3.6933 (3.9368)	Prec@1 0.000 (3.841)	Prec@5 15.000 (16.516)
Epoch: [0][860/2276], lr: 0.10000	Time 0.259 (0.303)	Data 0.000 (0.032)	Loss 3.4350 (3.9296)	Prec@1 10.000 (3.885)	Prec@5 35.000 (16.713)
Epoch: [0][880/2276], lr: 0.10000	Time 0.271 (0.302)	Data 0.000 (0.032)	Loss 3.4628 (3.9239)	Prec@1 0.000 (3.910)	Prec@5 35.000 (16.896)
Epoch: [0][900/2276], lr: 0.10000	Time 0.276 (0.301)	Data 0.000 (0.031)	Loss 3.6732 (3.9183)	Prec@1 0.000 (3.962)	Prec@5 10.000 (17.037)
Epoch: [0][920/2276], lr: 0.10000	Time 0.248 (0.301)	Data 0.000 (0.030)	Loss 3.6668 (3.9129)	Prec@1 0.000 (4.001)	Prec@5 25.000 (17.182)
Epoch: [0][940/2276], lr: 0.10000	Time 0.269 (0.300)	Data 0.000 (0.030)	Loss 3.4156 (3.9071)	Prec@1 5.000 (4.022)	Prec@5 40.000 (17.391)
Epoch: [0][960/2276], lr: 0.10000	Time 0.278 (0.299)	Data 0.000 (0.029)	Loss 3.6917 (3.9014)	Prec@1 10.000 (4.069)	Prec@5 15.000 (17.534)
Epoch: [0][980/2276], lr: 0.10000	Time 0.276 (0.299)	Data 0.000 (0.028)	Loss 3.9979 (3.8953)	Prec@1 5.000 (4.128)	Prec@5 10.000 (17.737)
Epoch: [0][1000/2276], lr: 0.10000	Time 0.254 (0.298)	Data 0.000 (0.028)	Loss 3.3875 (3.8893)	Prec@1 15.000 (4.156)	Prec@5 40.000 (17.917)
Epoch: [0][1020/2276], lr: 0.10000	Time 0.274 (0.298)	Data 0.000 (0.027)	Loss 3.6739 (3.8813)	Prec@1 5.000 (4.261)	Prec@5 30.000 (18.149)
Epoch: [0][1040/2276], lr: 0.10000	Time 0.270 (0.297)	Data 0.000 (0.027)	Loss 3.3893 (3.8731)	Prec@1 5.000 (4.352)	Prec@5 20.000 (18.425)
Epoch: [0][1060/2276], lr: 0.10000	Time 0.271 (0.297)	Data 0.001 (0.026)	Loss 3.3831 (3.8667)	Prec@1 10.000 (4.402)	Prec@5 50.000 (18.652)
Epoch: [0][1080/2276], lr: 0.10000	Time 0.273 (0.296)	Data 0.000 (0.026)	Loss 3.5437 (3.8588)	Prec@1 10.000 (4.491)	Prec@5 20.000 (18.908)
Epoch: [0][1100/2276], lr: 0.10000	Time 0.271 (0.296)	Data 0.000 (0.025)	Loss 3.3532 (3.8510)	Prec@1 15.000 (4.587)	Prec@5 45.000 (19.178)
Epoch: [0][1120/2276], lr: 0.10000	Time 0.250 (0.295)	Data 0.000 (0.025)	Loss 3.1917 (3.8436)	Prec@1 10.000 (4.661)	Prec@5 40.000 (19.425)
Epoch: [0][1140/2276], lr: 0.10000	Time 0.268 (0.295)	Data 0.000 (0.024)	Loss 3.2293 (3.8361)	Prec@1 20.000 (4.781)	Prec@5 40.000 (19.680)
Epoch: [0][1160/2276], lr: 0.10000	Time 0.269 (0.294)	Data 0.000 (0.024)	Loss 3.1910 (3.8281)	Prec@1 20.000 (4.871)	Prec@5 25.000 (19.927)
Epoch: [0][1180/2276], lr: 0.10000	Time 0.266 (0.294)	Data 0.000 (0.024)	Loss 3.2999 (3.8200)	Prec@1 10.000 (4.962)	Prec@5 35.000 (20.216)
Epoch: [0][1200/2276], lr: 0.10000	Time 0.271 (0.294)	Data 0.000 (0.023)	Loss 3.1360 (3.8109)	Prec@1 10.000 (5.075)	Prec@5 60.000 (20.545)
Epoch: [0][1220/2276], lr: 0.10000	Time 0.272 (0.293)	Data 0.000 (0.023)	Loss 3.0722 (3.8037)	Prec@1 15.000 (5.156)	Prec@5 55.000 (20.803)
Epoch: [0][1240/2276], lr: 0.10000	Time 0.256 (0.293)	Data 0.000 (0.022)	Loss 3.0589 (3.7979)	Prec@1 10.000 (5.210)	Prec@5 50.000 (20.999)
Epoch: [0][1260/2276], lr: 0.10000	Time 0.268 (0.293)	Data 0.000 (0.022)	Loss 3.1603 (3.7902)	Prec@1 10.000 (5.254)	Prec@5 35.000 (21.213)
Epoch: [0][1280/2276], lr: 0.10000	Time 0.268 (0.292)	Data 0.000 (0.022)	Loss 3.1248 (3.7830)	Prec@1 5.000 (5.340)	Prec@5 55.000 (21.518)
Epoch: [0][1300/2276], lr: 0.10000	Time 0.251 (0.292)	Data 0.001 (0.021)	Loss 3.2190 (3.7749)	Prec@1 5.000 (5.438)	Prec@5 40.000 (21.799)
Epoch: [0][1320/2276], lr: 0.10000	Time 0.263 (0.292)	Data 0.000 (0.021)	Loss 3.0319 (3.7678)	Prec@1 20.000 (5.553)	Prec@5 50.000 (22.104)
Epoch: [0][1340/2276], lr: 0.10000	Time 0.274 (0.291)	Data 0.000 (0.021)	Loss 3.2085 (3.7605)	Prec@1 10.000 (5.638)	Prec@5 45.000 (22.383)
Epoch: [0][1360/2276], lr: 0.10000	Time 0.272 (0.291)	Data 0.000 (0.021)	Loss 3.1134 (3.7530)	Prec@1 20.000 (5.731)	Prec@5 50.000 (22.623)
Epoch: [0][1380/2276], lr: 0.10000	Time 0.253 (0.291)	Data 0.000 (0.020)	Loss 3.2438 (3.7453)	Prec@1 10.000 (5.818)	Prec@5 40.000 (22.831)
Epoch: [0][1400/2276], lr: 0.10000	Time 0.269 (0.290)	Data 0.000 (0.020)	Loss 3.2869 (3.7372)	Prec@1 15.000 (5.889)	Prec@5 45.000 (23.112)
Epoch: [0][1420/2276], lr: 0.10000	Time 0.270 (0.290)	Data 0.000 (0.020)	Loss 3.2075 (3.7293)	Prec@1 25.000 (6.017)	Prec@5 55.000 (23.420)
Epoch: [0][1440/2276], lr: 0.10000	Time 0.245 (0.290)	Data 0.001 (0.019)	Loss 3.4840 (3.7207)	Prec@1 5.000 (6.128)	Prec@5 45.000 (23.740)
Epoch: [0][1460/2276], lr: 0.10000	Time 0.236 (0.289)	Data 0.000 (0.019)	Loss 3.4099 (3.7127)	Prec@1 0.000 (6.198)	Prec@5 35.000 (23.984)
Epoch: [0][1480/2276], lr: 0.10000	Time 0.273 (0.289)	Data 0.000 (0.019)	Loss 2.8736 (3.7056)	Prec@1 20.000 (6.310)	Prec@5 55.000 (24.240)
Epoch: [0][1500/2276], lr: 0.10000	Time 0.265 (0.289)	Data 0.000 (0.019)	Loss 3.0372 (3.6980)	Prec@1 25.000 (6.416)	Prec@5 45.000 (24.550)
Epoch: [0][1520/2276], lr: 0.10000	Time 0.265 (0.289)	Data 0.001 (0.018)	Loss 2.7855 (3.6898)	Prec@1 20.000 (6.489)	Prec@5 50.000 (24.859)
Epoch: [0][1540/2276], lr: 0.10000	Time 0.272 (0.288)	Data 0.000 (0.018)	Loss 3.3943 (3.6833)	Prec@1 10.000 (6.570)	Prec@5 35.000 (25.101)
Epoch: [0][1560/2276], lr: 0.10000	Time 0.275 (0.288)	Data 0.000 (0.018)	Loss 2.7505 (3.6755)	Prec@1 25.000 (6.694)	Prec@5 60.000 (25.397)
Epoch: [0][1580/2276], lr: 0.10000	Time 0.251 (0.288)	Data 0.000 (0.018)	Loss 3.0709 (3.6670)	Prec@1 25.000 (6.844)	Prec@5 35.000 (25.705)
Epoch: [0][1600/2276], lr: 0.10000	Time 0.268 (0.288)	Data 0.000 (0.018)	Loss 3.5134 (3.6599)	Prec@1 20.000 (6.986)	Prec@5 40.000 (25.981)
Epoch: [0][1620/2276], lr: 0.10000	Time 0.270 (0.288)	Data 0.001 (0.017)	Loss 2.6620 (3.6531)	Prec@1 30.000 (7.079)	Prec@5 50.000 (26.225)
Epoch: [0][1640/2276], lr: 0.10000	Time 0.276 (0.287)	Data 0.000 (0.017)	Loss 3.1807 (3.6459)	Prec@1 25.000 (7.218)	Prec@5 50.000 (26.520)
Epoch: [0][1660/2276], lr: 0.10000	Time 0.248 (0.287)	Data 0.000 (0.017)	Loss 3.0421 (3.6379)	Prec@1 10.000 (7.330)	Prec@5 50.000 (26.827)
